date,product,routine_time,skin_feel,hydration,texture,irritation,notes
2026-06-01,Retinol The Ordinary,night,dry,6,7,3,slight irritation
2026-06-02,Cicaplast B5,morning,calm,8,6,1,skin recovered
2026-06-03,Vitamin C Garnier,morning,glowy,7,7,2,no issues
2026-06-04,Retinol The Ordinary,night,dry,5,6,4,noticeable irritation
2026-06-05,Cicaplast B5,morning,calm,8,7,0,very soothing
2026-06-06,Vitamin C Garnier,morning,glowy,8,8,1,bright skin
2026-06-07,Hyaluronic Acid Inkey,morning,calm,9,7,0,hydrating
2026-06-08,Retinol The Ordinary,night,tight,5,6,3,some redness
2026-06-09,Cicaplast B5,morning,calm,8,6,0,barrier repair
2026-06-10,Hyaluronic Acid Inkey,morning,glowy,9,8,0,plump skin
2026-06-11,Vitamin C Garnier,evening,glowy,7,7,1,good glow
2026-06-12,Retinol The Ordinary,night,dry,4,5,5,significant irritation
2026-06-13,Niacinamide CeraVe,morning,calm,7,6,0,mild improvement
2026-06-14,Cicaplast B5,morning,calm,8,7,0,routine keeper
2026-06-15,Hyaluronic Acid Inkey,morning,glowy,9,8,0,consistently good
2026-06-16,Vitamin C Garnier,morning,glowy,8,7,1,stable performance
2026-06-17,Retinol The Ordinary,night,dry,6,6,2,lower irritation today
2026-06-18,Niacinamide CeraVe,morning,calm,7,6,1,minor dryness
2026-06-19,Cicaplast B5,morning,calm,8,7,0,reliable
2026-06-20,Hyaluronic Acid Inkey,morning,glowy,9,8,0,best hydration
2026-06-21,Sunscreen SPF50,morning,calm,6,5,0,lightweight
2026-06-22,Retinol The Ordinary,night,tight,5,5,3,irritation returns
2026-06-23,Niacinamide CeraVe,morning,calm,7,7,0,good
2026-06-24,Cicaplast B5,morning,calm,8,7,0,best barrier support
2026-06-25,Vitamin C Garnier,morning,glowy,8,8,0,excellent
